composite,time
6,62.214389499999015
35,37.315450499998406
121,30.916428700000324
361,32.06731810000383
2419,30.165693699998883
9047,30.080977799996617
40913,26.534951199995703
126187,28.01917329999924
768017,27.90883280000162
1475741,22.885782799996377
11723423,27.96511610000198
22126249,25.676972000004753
101212549,28.392631500002608
380977111,37.755588899999566
1326593479,51.61878469999647
9908680829,59.58022990000427
45013700651,50.77360350000163
138654777857,63.12293710000631
488622573521,62.82523899999978
3555932553001,63.107007700000395
12605298990703,63.51949319999221
19109691213589,58.6234575999988
177306807682079,54.78579239999817
577032452047369,62.95883180000419
1722541246384111,63.02736999999797
10875287838176891,75.08824239999922
41607242667824293,81.54073799999605
158106612754810339,115.90330049999466
809510187110433623,134.10793299999023
3196540855113216971,202.97227059999568
11403038110124417189,332.3903451000024
59831665174908421681,1168.7139346000095
156144384874381012573,3146.8601995999925
693583559285919764081,12813.611906299977
3955457202164232002933,26562.737206700018
13562688630782543322599,63488.156893999956
27745383991775796167141,103135.63234990006
99964903164570774833747,130785.7514134995
517465139672055064345459,275350.28295579896
2481375016336377159448003,1006663.9407672992
11917550129803006473256723,167379.3221203
