size,run_time
2,1.1899974197149277e-05
3,7.700000423938036e-06
4,1.2700038496404886e-05
5,7.599999662488699e-06
6,6.89999433234334e-06
7,6.89999433234334e-06
8,7.399998139590025e-06
9,8.90000956133008e-06
10,1.2899981811642647e-05
11,1.4199991710484028e-05
13,1.839996548369527e-05
15,2.4100008886307478e-05
17,2.4300010409206152e-05
19,3.319996176287532e-05
21,3.0800001695752144e-05
24,3.1400006264448166e-05
27,3.619998460635543e-05
30,4.1599967516958714e-05
33,4.7600013203918934e-05
37,5.5500015150755644e-05
41,6.659998325631022e-05
46,7.409998215734959e-05
51,8.450000314041972e-05
57,8.889997843652964e-05
63,9.300000965595245e-05
70,9.670003782957792e-05
77,0.00010830000974237919
85,0.00012259994400665164
94,0.00014140002895146608
104,0.00017940002726390958
115,0.00018670002464205027
127,0.00020809995476156473
140,0.000235399988014251
154,0.00025429995730519295
170,0.0002674999996088445
188,0.0002785999677143991
207,0.00029260001610964537
228,0.00032270001247525215
251,0.00037099997280165553
277,0.00042669998947530985
305,0.00048610003432258964
336,0.0005555000388994813
370,0.0006233000312931836
408,0.0007070000283420086
449,0.0007834999705664814
494,0.0008159999852068722
544,0.0008780999924056232
599,0.0009046999621205032
659,0.0009694999898783863
725,0.0010589000303298235
798,0.0011858000070787966
878,0.001345900003798306
966,0.0015331999748013914
1063,0.001740399980917573
1170,0.0019691999768838286
1287,0.002223599993158132
1416,0.0023757999879308045
1558,0.002590699994470924
1714,0.002621699997689575
1886,0.0027330999728292227
2075,0.003028600011020899
2283,0.0034639000077731907
2512,0.003963500028476119
2764,0.0044855999876745045
3041,0.00506720005068928
3346,0.005773700017016381
3681,0.006446100014727563
4050,0.007117900007870048
4455,0.007465399976354092
4901,0.007747899973765016
5392,0.008072800002992153
5932,0.00862290000077337
6526,0.009724700008518994
7179,0.011013899988029152
7897,0.012578399968333542
8687,0.014243400015402585
9556,0.015948399959597737
10512,0.01793469995027408
11564,0.020264699996914715
12721,0.02196480002021417
13994,0.02232910000020638
15394,0.02341070002876222
16934,0.024328500032424927
18628,0.027139300014823675
20491,0.03102799999760464
22541,0.03541780001251027
24796,0.04011930001433939
27276,0.045417799963615835
30004,0.05088530003558844
33005,0.060106599994469434
36306,0.06561410002177581
39937,0.06776559998979792
43931,0.07038980000652373
48325,0.07437439996283501
53158,0.07797330000903457
58474,0.09070770000107586
64322,0.10206270002527162
70755,0.11648279998917133
77831,0.13121189997764304
85615,0.14880629995604977
94177,0.16904690000228584
103595,0.2109727999777533
113955,0.19850959995528683
125351,0.20956300001125783
137887,0.21700000000419095
151676,0.22434950002934784
166844,0.2602225999580696
183529,0.2891253000125289
201882,0.32370210002409294
222071,0.3704998000175692
244279,0.41686850000405684
268707,0.46824629994807765
295578,0.5244637000141665
325136,0.5787689000135288
357650,0.6027020000037737
393416,0.6243637999868952
432758,0.6946902999770828
476034,0.6991605999646708
523638,0.7862928999820724
576002,0.8887126999907196
633603,1.0168747000279836
696964,1.1516196000156924
766661,1.2968005999573506
843328,1.4556115999585018
927661,1.6281597999623045
1020428,1.7088151999632828
1122471,1.8074159999960102
1234719,1.8778707000310533
1358191,1.9505818000179715
1494011,2.141974799975287
1643413,2.4600871999864466
1807755,2.8011195000144653
1988531,3.1823315999936312
2187385,3.5962021999876015
2406124,4.090184099972248
2646737,4.556553700007498
2911411,5.043494899990037
3202553,5.2859402999747545
3522809,5.476279700000305
3875090,5.75550289999228
4262599,5.978624300041702
4688859,6.8692770000197925
5157745,7.8594078999594785
5673520,8.93237280001631
6240873,10.119935600028839
6864961,11.471615899994504
7551458,12.844575399998575
8306604,14.464264800015371
9137265,15.397258899989538
