size,run_time
2,2.9999646358191967e-06
3,1.600012183189392e-06
4,2.600019797682762e-06
5,1.500011421740055e-06
6,1.3999524526298046e-06
7,1.300009898841381e-06
8,1.3999524526298046e-06
9,1.400010660290718e-06
10,1.400010660290718e-06
11,1.9000144675374031e-06
13,2.200016751885414e-06
15,2.1999585442245007e-06
17,2.200016751885414e-06
19,2.500019036233425e-06
21,2.5999615900218487e-06
24,3.400025889277458e-06
27,3.500026650726795e-06
30,3.8000289350748062e-06
33,3.89997148886323e-06
37,4.299974534660578e-06
41,4.499976057559252e-06
46,5.699985194951296e-06
51,6.199989002197981e-06
57,6.499991286545992e-06
63,6.999995093792677e-06
70,7.599999662488699e-06
77,1.1199968867003918e-05
85,9.100011084228754e-06
94,1.0700023267418146e-05
104,1.1599971912801266e-05
115,1.2299977242946625e-05
127,1.3299984857439995e-05
140,1.4499993994832039e-05
154,1.580000389367342e-05
170,1.7200014553964138e-05
188,1.98000343516469e-05
207,2.150004729628563e-05
228,2.3200002033263445e-05
251,2.5499961338937283e-05
277,2.8099981136620045e-05
305,3.070000093430281e-05
336,3.539997851476073e-05
370,4.549999721348286e-05
408,4.240003181621432e-05
449,4.7200010158121586e-05
494,5.029997555539012e-05
544,5.519995465874672e-05
599,6.40999642200768e-05
659,6.659998325631022e-05
725,8.670001989230514e-05
798,8.299999171867967e-05
878,9.350001346319914e-05
966,9.960000170394778e-05
1063,0.00010919995838776231
1170,0.00012099999003112316
1287,0.00013139995280653238
1416,0.00016980001237243414
1558,0.0001618000096641481
1714,0.00017989997286349535
1886,0.00019839999731630087
2075,0.00021140003809705377
2283,0.00023480004165321589
2512,0.0002601000014692545
2764,0.00032629998167976737
3041,0.00041689997306093574
3346,0.00043650000588968396
3681,0.00046720000682398677
4050,0.0004999000229872763
4455,0.0005436000064946711
4901,0.0005834000185132027
5392,0.0006406999891623855
5932,0.0007993999752216041
6526,0.0008679999737069011
7179,0.0009290000307373703
7897,0.0009972000261768699
8687,0.0010588999721221626
9556,0.001145099988207221
10512,0.0012385000009089708
11564,0.001534299983177334
12721,0.0016621999675408006
13994,0.0017927000299096107
15394,0.0019361000158824027
16934,0.0021046000183559954
18628,0.002391100046224892
20491,0.002560799999628216
22541,0.0029696999699808657
24796,0.003163500048685819
27276,0.003364900010637939
30004,0.0037030999665148556
33005,0.004281200002878904
36306,0.004260000016074628
39937,0.004643200023565441
43931,0.005579499993473291
48325,0.006280100031290203
53158,0.0065030999830923975
58474,0.00670269998954609
64322,0.007242500025313348
70755,0.008111100003588945
77831,0.008448699954897165
85615,0.009281200007535517
94177,0.011127699981443584
103595,0.01252410002052784
113955,0.013218999956734478
125351,0.01447970001026988
137887,0.015549300005659461
151676,0.016824599995743483
166844,0.01826670003356412
183529,0.02245359995868057
201882,0.02398410002933815
222071,0.025917200022377074
244279,0.028202700021211058
268707,0.030594399955589324
295578,0.033185700012836605
325136,0.03491440002107993
357650,0.0419353999895975
393416,0.04710780002642423
432758,0.051707300008274615
476034,0.058261999976821244
523638,0.061094900011084974
576002,0.06532009999500588
633603,0.07091339997714385
696964,0.0756736999610439
766661,0.09138160001020879
843328,0.10102469997946173
927661,0.11158639995846897
1020428,0.12165799998911098
1122471,0.13032930000917986
1234719,0.14162180002313107
1358191,0.15063260000897571
1494011,0.1816720999777317
1643413,0.19706040003802627
1807755,0.21331059996737167
1988531,0.23097140004392713
2187385,0.2505888000014238
2406124,0.27440389996627346
2646737,0.294620800006669
2911411,0.35658890003105626
3202553,0.3906455999822356
3522809,0.4203994999988936
3875090,0.45439309999346733
4262599,0.48732050001854077
4688859,0.5333885999862105
5157745,0.5791694999788888
5673520,0.7039013999747112
6240873,0.7720488999621011
6864961,0.8316764999763109
7551458,0.8940998999751173
8306604,0.9689720000023954
9137265,1.049711200001184
10050992,1.1398105999687687
11056092,1.2707752999849617
12161702,1.4954044000478461
13377873,1.6207564999931492
14715661,1.7715389999793842
16187228,1.9387392000062391
17805951,2.1252829000004567
19586547,2.4073767999652773
21545202,2.596734300022945
23699723,3.1762739999685436
26069696,3.4930312000215054
28676666,3.60271659999853
31544333,3.9443218000233173
34698767,4.339067900029477
38168644,4.575702300004195
41985509,4.812235800025519
46184060,5.885263699979987
50802467,6.724236399983056
55882714,7.9385157999931835
61470986,8.314356499991845
67618085,8.56503719999455
74379894,9.075981200032402
81817884,9.883808999962639
89999673,14.44897360005416
98999641,14.802683699992485
108899606,14.437010699999519
119789567,15.296328899974469
